profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
981,0.93,0.13200924758480076,0.35785,0.758355,Restart Task,Restart Task,0.42785,LOW
982,0.0,0.12181539369945016,0.48163750000000005,0.14449125000000002,Normal,Normal,0.518362,LOW
983,0.005,0.10413129428524215,0.637475,0.1947425,Normal,Normal,0.367525,LOW
984,0.0,0.13448502118172057,0.322225,0.09666749999999999,Normal,Normal,0.677775,MEDIUM
985,0.0,0.10263017769794175,0.6476625,0.19429875,Normal,Normal,0.352337,LOW
986,1.0,0.10667228243330784,0.6194,0.8858199999999999,Restart Task,Restart Task,0.6194,MEDIUM
987,0.0,0.12792308643581085,0.4102,0.12306,Normal,Normal,0.5898,MEDIUM
988,0.0,0.07574280942508965,0.7869375000000001,0.23608125000000002,Normal,Normal,0.213062,LOW
989,0.0,0.09545663535612203,0.6944125,0.20832375,Normal,Normal,0.305588,LOW
990,0.0,0.14610481726526858,0.12341250000000004,0.03702375000000001,Normal,Normal,0.876587,HIGH
991,0.0,0.12888128098435986,0.399,0.1197,Normal,Normal,0.601,MEDIUM
992,0.0,0.10580298256569981,0.6257874999999999,0.18773624999999997,Normal,Normal,0.374213,LOW
993,0.0,0.14831430155088943,0.08942499999999998,0.026827499999999994,Normal,Normal,0.910575,HIGH
994,0.0,0.1208162965148305,0.49234999999999995,0.14770499999999998,Normal,Normal,0.50765,LOW
995,0.0,0.12859011280353777,0.40218750000000003,0.12065625,Normal,Normal,0.597812,MEDIUM
996,1.0,0.12816185528366475,0.40741249999999996,0.8222237499999999,Restart Task,Restart Task,0.407412,LOW
997,0.0,-0.0700343443020024,0.9840625,0.29521875,Normal,Normal,0.015938,LOW
998,0.0,0.10992996316562675,0.5939375,0.17818124999999999,Normal,Normal,0.406062,LOW
999,1.0,0.13065267483598603,0.37625,0.8128749999999999,Restart Task,Restart Task,0.37625,LOW
